Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ242280,04/27/2016 01:44:00 PM,073XX S COTTAGE GROVE AVE,BATTERY,41.761772852,-87.605478606
HZ251168,05/04/2016 02:12:00 PM,065XX S DREXEL AVE,OTHER OFFENSE,41.776257774,-87.603401116
HZ251809,05/05/2016 12:30:00 AM,032XX S STATE ST,THEFT,41.8363442,-87.626739832
HZ251803,05/05/2016 01:13:00 AM,008XX E 63RD ST,ROBBERY,41.780439401,-87.603727666
HZ254409,05/06/2016 08:07:00 PM,073XX S DORCHESTER AVE,CRIMINAL DAMAGE,41.761767254,-87.590879664
HZ254400,05/06/2016 02:00:00 AM,043XX S DR MARTIN LUTHER KING JR DR,MOTOR VEHICLE THEFT,41.816180724,-87.616777947
HZ254554,05/06/2016 02:30:00 PM,012XX E 64TH ST,BURGLARY,41.778716205,-87.595597027
HZ254460,05/06/2016 11:40:00 PM,070XX S WENTWORTH AVE,DECEPTIVE PRACTICE,41.76654025,-87.629797313
HZ255817,05/06/2016 04:00:00 PM,070XX S PAXTON AVE,BATTERY,41.766845795,-87.571422669
HZ255675,05/07/2016 09:00:00 PM,066XX S ST LAWRENCE AVE,CRIMINAL DAMAGE,41.774067062,-87.610659033
HZ217739,04/08/2016 08:04:00 AM,047XX S SHIELDS AVE,ROBBERY,41.808395033,-87.63456643
HZ217986,04/08/2016 12:20:00 PM,071XX S RHODES AVE,ASSAULT,41.765316099,-87.611625977
HZ218449,04/08/2016 06:00:00 PM,006XX E 69TH ST,THEFT,41.769452949,-87.6087643
HZ218690,04/08/2016 05:40:00 PM,078XX S MARYLAND AVE,BURGLARY,41.752482234,-87.603996717
HZ219074,04/08/2016 10:00:00 PM,010XX E 55TH ST,THEFT,41.795023964,-87.600503812
HZ256046,05/08/2016 02:00:00 AM,004XX W 28TH PL,CRIMINAL DAMAGE,41.842692381,-87.639004686
HZ256703,05/08/2016 09:11:00 PM,072XX S STEWART AVE,NARCOTICS,41.762903213,-87.634605726
HZ256785,05/08/2016 10:50:00 PM,073XX S DANTE AVE,BATTERY,41.76147944,-87.589658767
HZ256819,05/08/2016 11:30:00 PM,022XX S ARCHER AVE,BATTERY,41.85230091,-87.635979063
HZ256929,05/09/2016 02:09:00 AM,001XX W MARQUETTE RD,NARCOTICS,41.772726181,-87.62894887
HZ258154,05/09/2016 10:20:00 AM,075XX S KENWOOD AVE,CRIMINAL DAMAGE,41.757811671,-87.591991804
HZ262277,05/09/2016 12:01:00 AM,015XX E 61ST ST,THEFT,41.783818994,-87.588546358
HZ258389,05/09/2016 04:30:00 PM,016XX E HAYES DR,BURGLARY,41.780617401,-87.584477038
HZ258256,05/10/2016 12:00:00 AM,065XX S ST LAWRENCE AVE,BATTERY,41.776144782,-87.610705365
HZ258591,05/10/2016 10:30:00 AM,018XX E 72ND ST,ASSAULT,41.764293597,-87.580162023
HZ259202,05/10/2016 05:40:00 PM,040XX S PRAIRIE AVE,CRIMINAL TRESPASS,41.821461084,-87.619925551
HZ259298,05/10/2016 07:18:00 PM,003XX W 42ND PL,BATTERY,41.817274206,-87.634352524
HZ259714,05/11/2016 06:39:00 AM,048XX S PRINCETON AVE,THEFT,41.805887168,-87.633280594
HZ260083,05/11/2016 11:55:00 AM,071XX S PRAIRIE AVE,BURGLARY,41.764873084,-87.618459782
HZ260535,05/11/2016 05:30:00 PM,078XX S CLYDE AVE,BATTERY,41.752814694,-87.573567629
HZ260760,05/11/2016 07:10:00 PM,031XX S CANAL ST,ASSAULT,41.837495327,-87.637739791
HZ261167,05/11/2016 07:45:00 PM,069XX S EAST END AVE,BURGLARY,41.769017689,-87.582856072
HZ261256,05/11/2016 07:00:00 PM,076XX S STONY ISLAND AVE,THEFT,41.756714109,-87.586085395
HZ261786,05/11/2016 01:51:00 PM,045XX S CALUMET AVE,DECEPTIVE PRACTICE,41.81236704,-87.618236385
HZ261051,05/12/2016 03:18:00 AM,017XX E 71ST PL,BURGLARY,41.765188616,-87.581896344
HZ261795,05/12/2016 04:00:00 PM,075XX S DREXEL AVE,ROBBERY,41.75815338,-87.602924599
HZ262993,05/12/2016 04:00:00 PM,032XX S WELLS ST,THEFT,41.835906739,-87.632828774
HZ239500,04/25/2016 01:27:00 PM,071XX S PRINCETON AVE,CRIMINAL DAMAGE,41.764699749,-87.632192663
HZ241675,04/26/2016 08:45:00 PM,013XX E 56TH ST,BURGLARY,41.793296749,-87.594340715
HZ244429,04/28/2016 04:00:00 PM,075XX S STATE ST,BATTERY,41.757746672,-87.62474756
HZ246088,04/26/2016 06:15:00 PM,042XX S LANGLEY AVE,ROBBERY,41.818095467,-87.60921775
HZ249205,05/03/2016 05:22:00 AM,024XX E 78TH ST,BATTERY,41.753567171,-87.564572519
HZ250639,05/04/2016 07:15:00 AM,007XX E 78TH ST,BATTERY,41.753076247,-87.607226042
HZ253411,05/06/2016 09:10:00 AM,001XX W 51ST ST,THEFT,41.801852528,-87.630045663
HZ256210,05/07/2016 02:00:00 PM,042XX S CHAMPLAIN AVE,THEFT,41.818094975,-87.610446717
HZ259895,04/25/2016 10:40:00 AM,029XX S UNION AVE,DECEPTIVE PRACTICE,41.840779036,-87.643917266
HZ266450,05/15/2016 10:30:00 AM,004XX E 48TH ST,OTHER OFFENSE,41.807586328,-87.615127788
HZ266268,05/16/2016 07:30:00 AM,065XX S WOODLAWN AVE,ASSAULT,41.776425255,-87.596107217
HZ266699,05/16/2016 12:25:00 PM,074XX S CHAPPEL AVE,BATTERY,41.760329375,-87.574934094
HZ266678,05/16/2016 08:15:00 AM,003XX E 57TH ST,BURGLARY,41.791156498,-87.616913704
HZ267704,05/16/2016 06:00:00 PM,071XX S YALE AVE,CRIMINAL DAMAGE,41.764568853,-87.630980811
HZ267842,05/17/2016 02:23:00 AM,021XX S ARCHER AVE,BURGLARY,41.853734592,-87.633016015
HZ270514,05/17/2016 03:00:00 PM,033XX S CALUMET AVE,THEFT,41.833695118,-87.618175159
HZ270085,05/18/2016 05:00:00 PM,026XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.845382483,-87.617663323
HZ270278,05/18/2016 03:00:00 PM,071XX S MERRILL AVE,NARCOTICS,41.765827136,-87.572585707
HZ271119,05/18/2016 11:00:00 AM,034XX S CALUMET AVE,THEFT,41.832303598,-87.618146617
HZ271492,05/19/2016 08:15:00 PM,029XX S POPLAR AVE,ASSAULT,41.84097894,-87.649353839
HZ272450,05/20/2016 02:48:00 PM,002XX E 35TH ST,THEFT,41.831073285,-87.620211441
HZ272832,05/20/2016 07:00:00 PM,052XX S WELLS ST,CRIMINAL DAMAGE,41.799336739,-87.631958253
HZ272972,05/20/2016 08:45:00 PM,026XX S HALSTED ST,ROBBERY,41.845116405,-87.646447104
HZ272983,05/20/2016 10:40:00 PM,011XX W 34TH PL,OTHER OFFENSE,41.831566504,-87.654044365
HZ273869,05/21/2016 04:40:00 PM,065XX S MARYLAND AVE,CRIMINAL DAMAGE,41.776301197,-87.604621454
HZ274330,05/21/2016 11:56:00 PM,067XX S BLACKSTONE AVE,OTHER OFFENSE,41.773081899,-87.588747571
HZ276030,05/21/2016 04:05:00 PM,012XX E 53RD ST,DECEPTIVE PRACTICE,41.799462885,-87.596008257
HZ274680,05/22/2016 09:45:00 AM,072XX S SOUTH SHORE DR,THEFT,41.764728045,-87.561272312
HZ276902,05/23/2016 09:30:00 PM,057XX S CALUMET AVE,BATTERY,41.790320325,-87.617487726
HZ278005,05/24/2016 04:04:00 PM,006XX E 37TH ST,WEAPONS VIOLATION,41.827420036,-87.610888511
HZ278233,05/24/2016 06:55:00 PM,036XX S LOWE AVE,ASSAULT,41.828107781,-87.64238379
HZ278552,05/24/2016 01:30:00 PM,073XX S HARVARD AVE,BURGLARY,41.761227025,-87.633348386
HZ278920,05/25/2016 10:22:00 AM,071XX S EUCLID AVE,BATTERY,41.765564594,-87.578131109
HZ280385,05/25/2016 06:00:00 AM,072XX S EUCLID AVE,BURGLARY,41.762998275,-87.578069569
HZ280556,05/26/2016 12:55:00 PM,052XX S PRAIRIE AVE,OTHER OFFENSE,41.799250767,-87.619339436
HZ281227,05/26/2016 09:15:00 PM,013XX E HYDE PARK BLVD,CRIMINAL DAMAGE,41.80241429,-87.592372795
HZ291492,05/23/2016 10:00:00 AM,012XX E 53RD ST,DECEPTIVE PRACTICE,41.799461412,-87.596206318
HZ284204,05/29/2016 01:36:00 AM,076XX S NORMAL AVE,ASSAULT,41.755685653,-87.636857355
HZ284938,05/29/2016 03:35:00 PM,008XX E 79TH ST,NARCOTICS,41.751305337,-87.603628907
HZ285979,05/29/2016 09:30:00 PM,061XX S KENWOOD AVE,BATTERY,41.783522021,-87.593125671
HZ283827,05/28/2016 12:00:00 PM,036XX S RHODES AVE,CRIMINAL DAMAGE,41.828762287,-87.614436164
HZ291767,05/25/2016 12:00:00 PM,067XX S MERRILL AVE,DECEPTIVE PRACTICE,41.773032424,-87.572815843
HZ286084,05/30/2016 01:00:00 PM,069XX S WABASH AVE,ASSAULT,41.768284508,-87.623370607
